5.030000 -2.25367 -1.91204
10.030000 1.44787 -1.21352
15.030000 4.15316 -0.406505
20.030000 1.13172 -2.97393
25.030000 -2.08202 -0.71366
30.030000 -1.75933 4.24482
35.030000 -1.04436 5.42616
40.030000 -2.96463 0.568003
45.030000 -1.58003 -2.49032
50.030000 4.8874 -0.960967
55.030000 4.00427 -1.42865
60.030000 -1.64956 -6.37151
65.030000 -3.28552 -1.00936
70.030000 -2.0233 5.83932
75.070000 -2.12742 3.50316
80.030000 -2.75566 -1.3847
85.070000 0.712673 -1.78204
90.030000 3.78027 1.5215
95.070000 3.44885 -1.55158
100.030000 -3.05867 -3.99876
105.070000 -1.8704 1.41736
110.030000 -0.827339 5.22172
115.070000 -2.7461 2.81546
120.030000 -2.38465 -2.02066
125.070000 2.89824 0.255514
130.030000 3.17245 -0.993128
135.070000 1.17571 -4.18871
140.030000 -0.962342 -3.08233
145.070000 -0.202563 0.825178
150.030000 -0.488052 4.79244
155.070000 -4.15501 0.593682
160.030000 -4.22898 -2.34585
165.070000 1.86717 -0.152779
170.030000 4.73614 -0.361566
175.070000 1.34647 -3.35524
180.030000 -0.989687 -2.42015
185.070000 1.23257 2.06281
190.030000 -1.83253 5.46862
195.070000 -3.03953 -2.08691
200.030000 -1.02349 -2.98282
205.070000 3.15069 -1.36342
210.030000 1.00483 -2.40886
215.070000 -0.666536 -4.30566
220.030000 -1.0726 0.592126
225.070000 -1.28807 4.66259
230.030000 -1.93422 2.09259
235.070000 -4.11773 -1.82985
240.030000 0.491886 -1.6797
245.070000 5.74477 -1.5565
250.030000 3.12435 -2.37178
255.070000 -3.58656 -4.44527
260.030000 -0.176495 1.54706
265.070000 0.421182 5.85585
270.030000 -4.25135 1.68403
275.070000 -2.41669 0.142094
280.030000 2.08702 -0.670213
285.070000 3.50948 -0.285686
290.030000 -0.235676 -4.55829
295.070000 -0.639592 -3.62926
300.030000 0.359953 3.0709
305.070000 -1.58552 6.2139
310.030000 -4.23123 1.46287
315.070000 -1.73296 0.0544426
320.030000 3.7907 -0.471733
325.070000 4.00361 -1.02258
330.030000 -0.0888637 -4.89769
335.070000 -2.12865 -0.119631
340.030000 0.414899 4.82746
345.070000 -0.757758 2.67707
350.030000 -2.71558 1.36428
355.070000 0.326436 -1.93742
360.030000 5.45676 0.823455
365.070000 2.17004 -3.13115
370.030000 0.138531 -4.19931
375.070000 -1.30738 0.303934
380.030000 -3.33525 5.15295
385.070000 -3.68378 1.45427
390.030000 -3.17155 1.30782
395.070000 0.227342 -0.874237
400.030000 3.64364 0.970735
405.070000 2.13042 -3.64294
410.030000 -1.6596 -2.8294
415.070000 1.32846 1.54421
420.030000 -0.700697 4.56269
425.070000 -4.47444 1.13639
430.030000 -3.84181 -2.23659
435.070000 1.12661 2.09913
440.030000 2.48041 -2.09516
445.070000 1.87682 -5.3743
450.030000 0.292305 -3.24925
455.070000 -0.0644711 2.50073
